Package	Assay
AIMS	TranscriptomicSeq
AIMS	Microarray
ALDEx2	TranscriptomicSeq
ALDEx2	EpigenomicSeq
ALDEx2	GenomicSeq
ALDEx2	Microbiome
anamiR	Microarray
anamiR	TranscriptomicSeq
AneuFinder	SingleCell
AneuFinder	GenomicSeq
anota2seq	TranscriptomicSeq
anota2seq	Microarray
ATACseqQC	GenomicSeq
ATACseqQC	EpigenomicSeq
attract	TranscriptomicSeq
attract	Microarray
BASiCS	SingleCell
BASiCS	TranscriptomicSeq
BatchQC	TranscriptomicSeq
BatchQC	Microarray
bayNorm	SingleCell
bayNorm	TranscriptomicSeq
BioNetStat	TranscriptomicSeq
BioNetStat	Microarray
biotmle	TranscriptomicSeq
biotmle	Microarray
BPRMeth	SingleCell
BPRMeth	TranscriptomicSeq
breakpointR	SingleCell
breakpointR	GenomicSeq
CancerInSilico	SingleCell
CancerInSilico	TranscriptomicSeq
CATALYST	SingleCell
CATALYST	FlowCytometry
CATALYST	MassSpectrometry
CausalR	TranscriptomicSeq
CausalR	Microarray
cellTree	TranscriptomicSeq
cellTree	Microarray
CEMiTool	TranscriptomicSeq
CEMiTool	Microarray
cicero	SingleCell
cicero	EpigenomicSeq
clusterExperiment	SingleCell
clusterExperiment	TranscriptomicSeq
CoGAPS	TranscriptomicSeq
CoGAPS	Microarray
COHCAP	Microarray
COHCAP	EpigenomicSeq
coMET	TranscriptomicSeq
coMET	Microarray
coMET	EpigenomicSeq
coMET	GenomicSeq
consensus	TranscriptomicSeq
consensus	Microarray
countsimQC	SingleCell
countsimQC	TranscriptomicSeq
countsimQC	Microbiome
covEB	TranscriptomicSeq
covEB	Microarray
CoverageView	TranscriptomicSeq
CoverageView	EpigenomicSeq
customProDB	TranscriptomicSeq
customProDB	MassSpectrometry
cydar	SingleCell
cydar	FlowCytometry
dcGSA	TranscriptomicSeq
dcGSA	Microarray
DChIPRep	EpigenomicSeq
DChIPRep	GenomicSeq
debrowser	TranscriptomicSeq
debrowser	EpigenomicSeq
DECIPHER	Microarray
DECIPHER	Microbiome
DECIPHER	GenomicSeq
deco	TranscriptomicSeq
deco	Microarray
derfinder	TranscriptomicSeq
derfinder	EpigenomicSeq
DESeq	TranscriptomicSeq
DESeq	EpigenomicSeq
DESeq2	TranscriptomicSeq
DESeq2	EpigenomicSeq
DESeq2	Microbiome
