Package	Assay	Keep
AIMS	TranscriptomicSeq	FALSE
AIMS	Microarray	TRUE
ALDEx2	TranscriptomicSeq	TRUE
ALDEx2	EpigenomicSeq	FALSE
ALDEx2	GenomicSeq	FALSE
ALDEx2	Microbiome	FALSE
anamiR	Microarray	TRUE
anamiR	TranscriptomicSeq	FALSE
AneuFinder	SingleCell	TRUE
AneuFinder	GenomicSeq	FALSE
anota2seq	TranscriptomicSeq	FALSE
anota2seq	Microarray	TRUE
ATACseqQC	GenomicSeq	FALSE
ATACseqQC	EpigenomicSeq	TRUE
attract	TranscriptomicSeq	FALSE
attract	Microarray	TRUE
BASiCS	SingleCell	TRUE
BASiCS	TranscriptomicSeq	FALSE
BatchQC	TranscriptomicSeq	FALSE
BatchQC	Microarray	TRUE
bayNorm	SingleCell	TRUE
bayNorm	TranscriptomicSeq	FALSE
BioNetStat	TranscriptomicSeq	TRUE
BioNetStat	Microarray	FALSE
biotmle	TranscriptomicSeq	FALSE
biotmle	Microarray	TRUE
BPRMeth	SingleCell	FALSE
BPRMeth	TranscriptomicSeq	TRUE
breakpointR	SingleCell	FALSE
breakpointR	GenomicSeq	TRUE
CancerInSilico	SingleCell	FALSE
CancerInSilico	TranscriptomicSeq	TRUE
CATALYST	SingleCell	FALSE
CATALYST	FlowCytometry	TRUE
CATALYST	MassSpectrometry	FALSE
CausalR	TranscriptomicSeq	TRUE
CausalR	Microarray	FALSE
cellTree	TranscriptomicSeq	TRUE
cellTree	Microarray	FALSE
CEMiTool	TranscriptomicSeq	TRUE
CEMiTool	Microarray	FALSE
cicero	SingleCell	TRUE
cicero	EpigenomicSeq	FALSE
clusterExperiment	SingleCell	TRUE
clusterExperiment	TranscriptomicSeq	FALSE
CoGAPS	TranscriptomicSeq	FALSE
CoGAPS	Microarray	TRUE
COHCAP	Microarray	TRUE
COHCAP	EpigenomicSeq	FALSE
coMET	TranscriptomicSeq	FALSE
coMET	Microarray	FALSE
coMET	EpigenomicSeq	TRUE
coMET	GenomicSeq	FALSE
consensus	TranscriptomicSeq	TRUE
consensus	Microarray	FALSE
countsimQC	SingleCell	FALSE
countsimQC	TranscriptomicSeq	TRUE
countsimQC	Microbiome	FALSE
covEB	TranscriptomicSeq	FALSE
covEB	Microarray	TRUE
CoverageView	TranscriptomicSeq	FALSE
CoverageView	EpigenomicSeq	TRUE
customProDB	TranscriptomicSeq	FALSE
customProDB	MassSpectrometry	TRUE
cydar	SingleCell	FALSE
cydar	FlowCytometry	TRUE
dcGSA	TranscriptomicSeq	FALSE
dcGSA	Microarray	TRUE
DChIPRep	EpigenomicSeq	TRUE
DChIPRep	GenomicSeq	FALSE
debrowser	TranscriptomicSeq	TRUE
