Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[single cell well quality]	Characteristics[genotype]	Characteristics[phenotype]	Characteristics[strain]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[spike sequence file]	Comment[spike concentration file]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[spike-in addition]	Factor Value[phenotype]	Factor Value[block]
SLX-9555.N701_S502.C89V9ANXX.s_1.r_1	ERS1628340	SAMEA103939172	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S502.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S502.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958318	SLX-9555.N701_S502.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S502.C89V9ANXX.s_1.r_1.fq.gz	ERR1897928	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/008/ERR1897928/ERR1897928.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N701_S503.C89V9ANXX.s_1.r_1	ERS1628341	SAMEA103939173	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S503.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S503.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958319	SLX-9555.N701_S503.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S503.C89V9ANXX.s_1.r_1.fq.gz	ERR1897929	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/009/ERR1897929/ERR1897929.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N701_S504.C89V9ANXX.s_1.r_1	ERS1628342	SAMEA103939174	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S504.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S504.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958320	SLX-9555.N701_S504.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S504.C89V9ANXX.s_1.r_1.fq.gz	ERR1897930	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/000/ERR1897930/ERR1897930.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N701_S505.C89V9ANXX.s_1.r_1	ERS1628343	SAMEA103939175	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S505.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S505.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958321	SLX-9555.N701_S505.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S505.C89V9ANXX.s_1.r_1.fq.gz	ERR1897931	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/001/ERR1897931/ERR1897931.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N701_S506.C89V9ANXX.s_1.r_1	ERS1628344	SAMEA103939176	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S506.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S506.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958322	SLX-9555.N701_S506.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S506.C89V9ANXX.s_1.r_1.fq.gz	ERR1897932	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/002/ERR1897932/ERR1897932.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N701_S507.C89V9ANXX.s_1.r_1	ERS1628345	SAMEA103939177	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S507.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S507.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958323	SLX-9555.N701_S507.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S507.C89V9ANXX.s_1.r_1.fq.gz	ERR1897933	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/003/ERR1897933/ERR1897933.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N701_S508.C89V9ANXX.s_1.r_1	ERS1628346	SAMEA103939178	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	induced CBFB-MYH11 oncogene expression	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S508.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S508.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958324	SLX-9555.N701_S508.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S508.C89V9ANXX.s_1.r_1.fq.gz	ERR1897934	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/004/ERR1897934/ERR1897934.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	induced CBFB-MYH11 oncogene expression	20160113
SLX-9555.N701_S517.C89V9ANXX.s_1.r_1	ERS1628347	SAMEA103939179	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N701_S517.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N701_S517.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958325	SLX-9555.N701_S517.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N701_S517.C89V9ANXX.s_1.r_1.fq.gz	ERR1897935	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/005/ERR1897935/ERR1897935.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N702_S502.C89V9ANXX.s_1.r_1	ERS1628348	SAMEA103939180	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S502.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S502.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958326	SLX-9555.N702_S502.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S502.C89V9ANXX.s_1.r_1.fq.gz	ERR1897936	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/006/ERR1897936/ERR1897936.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
SLX-9555.N702_S503.C89V9ANXX.s_1.r_1	ERS1628349	SAMEA103939181	Mus musculus	416B	embryonic stem cell	OK	Doxycycline-inducible CBFB-MYH11 oncogene	wild type phenotype	B6D2F1-J	single cell	P-MTAB-54880	Fernando Calero	P-MTAB-54882	Fernando Calero	P-MTAB-54889	Fernando Calero	P-MTAB-54884	Fernando Calero	P-MTAB-54885	Fernando Calero	SLX-9555.N702_S503.C89V9ANXX.s_1.r_1	spikes.fa	spikes.txt	SINGLE	Oligo-dT	TRANSCRIPTOMIC	not applicable	RNA-Seq	not applicable	not applicable	not applicable	P-MTAB-54886	CRUK CI	SLX-9555.N702_S503.C89V9ANXX.s_1.r_1	sequencing assay	ERX1958327	SLX-9555.N702_S503.C89V9ANXX.s_1.r_1.fq.gz	SLX-9555.N702_S503.C89V9ANXX.s_1.r_1.fq.gz	ERR1897937	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR189/007/ERR1897937/ERR1897937.fastq.gz	P-MTAB-54888	Aaron Lun	counts_Calero_20160113.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-5522/E-MTAB-5522.processed.1.zip	  	  	ERCC+SIRV	wild type phenotype	20160113
